"label","trials"
"HER2",334
"Hormone receptor",230
"PD-L1 or immune",76
"BRCA or HRD",59
"PIK3CA-AKT1-PTEN",56
"Genomic profiling",51
"ctDNA or MRD",24
"ESR1",10
